new_common_name,species_code,taxon_concept_id,scientific_name,order,family,family_common,category,taxonomic_order,report_as,extinct
White-breasted Nuthatch,whbnut,avibase-19CCBBD2,Sitta carolinensis,Passeriformes,Sittidae,Nuthatches,species,26889,NA,FALSE
White-breasted Nuthatch (Pacific),whbnut4,avibase-2544ADB5,Sitta carolinensis aculeata/alexandrae,Passeriformes,Sittidae,Nuthatches,issf,26898,whbnut,NA
Red-breasted Nuthatch,rebnut,avibase-0716A71C,Sitta canadensis,Passeriformes,Sittidae,Nuthatches,species,26937,NA,FALSE
Blue-gray Gnatcatcher,buggna,avibase-A15C5071,Polioptila caerulea,Passeriformes,Polioptilidae,Gnatcatchers,species,27123,NA,FALSE
Blue-gray Gnatcatcher (Western),buggna2,avibase-431207D1,Polioptila caerulea [obscura Group],Passeriformes,Polioptilidae,Gnatcatchers,issf,27124,buggna,NA
Rock Wren,rocwre,avibase-76DF73A9,Salpinctes obsoletus,Passeriformes,Troglodytidae,Wrens,species,27150,NA,FALSE
Northern House Wren,houwre,avibase-A4F5C5C8,Troglodytes aedon,Passeriformes,Troglodytidae,Wrens,species,27191,NA,FALSE
Northern House Wren (Northern),houwre1,avibase-51E93702,Troglodytes aedon [aedon Group],Passeriformes,Troglodytidae,Wrens,issf,27192,houwre,NA
Marsh Wren,marwre,avibase-787E0536,Cistothorus palustris,Passeriformes,Troglodytidae,Wrens,species,27329,NA,FALSE
Marsh Wren (paludicola Group),marwre1,avibase-B1F8968A,Cistothorus palustris [paludicola Group],Passeriformes,Troglodytidae,Wrens,issf,27330,marwre,NA
Bewick's Wren,bewwre,avibase-603194D3,Thryomanes bewickii,Passeriformes,Troglodytidae,Wrens,species,27362,NA,FALSE
Bewick's Wren (spilurus Group),bewwre1,avibase-2A34DC8D,Thryomanes bewickii [spilurus Group],Passeriformes,Troglodytidae,Wrens,issf,27370,bewwre,NA
wren sp.,wren1,avibase-D81CDBB1,Troglodytidae sp.,Passeriformes,Troglodytidae,Wrens,spuh,27646,NA,NA
European Starling,eursta,avibase-94A44032,Sturnus vulgaris,Passeriformes,Sturnidae,Starlings,species,27813,NA,FALSE
California Thrasher,calthr,avibase-20748450,Toxostoma redivivum,Passeriformes,Mimidae,Mockingbirds and Thrashers,species,28054,NA,FALSE
Sage Thrasher,sagthr,avibase-F6DF700B,Oreoscoptes montanus,Passeriformes,Mimidae,Mockingbirds and Thrashers,species,28069,NA,FALSE
Northern Mockingbird,normoc,avibase-7EFF698D,Mimus polyglottos,Passeriformes,Mimidae,Mockingbirds and Thrashers,species,28114,NA,FALSE
Western Bluebird,wesblu,avibase-AC2B812A,Sialia mexicana,Passeriformes,Turdidae,Thrushes and Allies,species,28136,NA,FALSE
Mountain Bluebird,moublu,avibase-97B870B4,Sialia currucoides,Passeriformes,Turdidae,Thrushes and Allies,species,28144,NA,FALSE
Hermit Thrush,herthr,avibase-B01E8BD4,Catharus guttatus,Passeriformes,Turdidae,Thrushes and Allies,species,28333,NA,FALSE
Catharus sp.,cathus,avibase-DE0D7D24,Catharus sp.,Passeriformes,Turdidae,Thrushes and Allies,spuh,28346,NA,NA
American Robin,amerob,avibase-D77E4B41,Turdus migratorius,Passeriformes,Turdidae,Thrushes and Allies,species,28633,NA,FALSE
Cedar Waxwing,cedwax,avibase-9437D635,Bombycilla cedrorum,Passeriformes,Bombycillidae,Waxwings,species,29888,NA,FALSE
Phainopepla,phaino,avibase-BD929CBC,Phainopepla nitens,Passeriformes,Ptiliogonatidae,Silky-flycatchers,species,29909,NA,FALSE
Scaly-breasted Munia,nutman,avibase-6D4F72B1,Lonchura punctulata,Passeriformes,Estrildidae,Waxbills and Allies,species,31076,NA,FALSE
House Sparrow,houspa,avibase-240E3390,Passer domesticus,Passeriformes,Passeridae,Old World Sparrows,species,31534,NA,FALSE
American Pipit,amepip,avibase-CDA2E56B,Anthus rubescens,Passeriformes,Motacillidae,Wagtails and Pipits,species,31883,NA,FALSE
House Finch,houfin,avibase-89431E9F,Haemorhous mexicanus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32310,NA,FALSE
Purple Finch,purfin,avibase-B4EE123D,Haemorhous purpureus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32324,NA,FALSE
Purple Finch (Western),purfin2,avibase-B759829F,Haemorhous purpureus californicus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",issf,32326,purfin,NA
House/Purple Finch,y00338,avibase-FF9212FE,Haemorhous mexicanus/purpureus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",slash,32328,NA,NA
Red Crossbill,redcro,avibase-135564AA,Loxia curvirostra,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32498,NA,FALSE
Pine Siskin,pinsis,avibase-B48335B1,Spinus pinus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32595,NA,FALSE
Lesser Goldfinch,lesgol,avibase-CD5C21CA,Spinus psaltria,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32609,NA,FALSE
Lawrence's Goldfinch,lawgol,avibase-C27D9E26,Spinus lawrencei,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32616,NA,FALSE
American Goldfinch,amegfi,avibase-C9ABA616,Spinus tristis,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32617,NA,FALSE
new world goldfinch sp.,goldfi,avibase-A2EB3A7A,Spinus sp. (goldfinch sp.),Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",spuh,32626,NA,NA
Lapland Longspur,laplon,avibase-3534E4CE,Calcarius lapponicus,Passeriformes,Calcariidae,Longspurs and Snow Buntings,species,32664,NA,FALSE
Grasshopper Sparrow,graspa,avibase-5BFFE091,Ammodramus savannarum,Passeriformes,Passerellidae,New World Sparrows,species,32943,NA,FALSE
Chipping Sparrow,chispa,avibase-37E9CCDA,Spizella passerina,Passeriformes,Passerellidae,New World Sparrows,species,32990,NA,FALSE
Clay-colored Sparrow,clcspa,avibase-486265CF,Spizella pallida,Passeriformes,Passerellidae,New World Sparrows,species,32996,NA,FALSE
Brewer's Sparrow,brespa,avibase-29967541,Spizella breweri,Passeriformes,Passerellidae,New World Sparrows,species,33007,NA,FALSE
Lark Sparrow,larspa,avibase-78509A5D,Chondestes grammacus,Passeriformes,Passerellidae,New World Sparrows,species,33029,NA,FALSE
Lark Bunting,larbun,avibase-938C5572,Calamospiza melanocorys,Passeriformes,Passerellidae,New World Sparrows,species,33032,NA,FALSE
Fox Sparrow,foxspa,avibase-3A7B1F59,Passerella iliaca,Passeriformes,Passerellidae,New World Sparrows,species,33099,NA,FALSE
Fox Sparrow (Sooty),foxsp2,avibase-2D663DC8,Passerella iliaca [unalaschcensis Group],Passeriformes,Passerellidae,New World Sparrows,issf,33100,foxspa,NA
Dark-eyed Junco,daejun,avibase-05FF3C9B,Junco hyemalis,Passeriformes,Passerellidae,New World Sparrows,species,33124,NA,FALSE
Dark-eyed Junco (Slate-colored),slcjun,avibase-7C3C67B0,Junco hyemalis hyemalis/carolinensis,Passeriformes,Passerellidae,New World Sparrows,issf,33126,daejun,NA
Dark-eyed Junco (Oregon),orejun,avibase-F52F581B,Junco hyemalis [oreganus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33130,daejun,NA
White-crowned Sparrow,whcspa,avibase-8601A467,Zonotrichia leucophrys,Passeriformes,Passerellidae,New World Sparrows,species,33187,NA,FALSE
White-crowned Sparrow (Dark-lored),whcspa2,avibase-437CC8EE,Zonotrichia leucophrys leucophrys/oriantha,Passeriformes,Passerellidae,New World Sparrows,form,33188,whcspa,NA
White-crowned Sparrow (Gambel's),gwcspa,avibase-DCA59B9B,Zonotrichia leucophrys gambelii,Passeriformes,Passerellidae,New World Sparrows,issf,33191,whcspa,NA
White-crowned Sparrow (Yellow-billed),whcspa3,avibase-9E311669,Zonotrichia leucophrys nuttalli/pugetensis,Passeriformes,Passerellidae,New World Sparrows,form,33192,whcspa,NA
White-crowned Sparrow (pugetensis),pswspa1,avibase-9D5921BF,Zonotrichia leucophrys pugetensis,Passeriformes,Passerellidae,New World Sparrows,issf,33194,whcspa,NA
Golden-crowned Sparrow,gocspa,avibase-BD61BDEC,Zonotrichia atricapilla,Passeriformes,Passerellidae,New World Sparrows,species,33196,NA,FALSE
White-throated Sparrow,whtspa,avibase-39BD9FF2,Zonotrichia albicollis,Passeriformes,Passerellidae,New World Sparrows,species,33201,NA,FALSE
Vesper Sparrow,vesspa,avibase-3647E146,Pooecetes gramineus,Passeriformes,Passerellidae,New World Sparrows,species,33217,NA,FALSE
Savannah Sparrow,savspa,avibase-31CE00C7,Passerculus sandwichensis,Passeriformes,Passerellidae,New World Sparrows,species,33244,NA,FALSE
Savannah Sparrow (Savannah),savspa4,avibase-FDB0B4B8,Passerculus sandwichensis [sandwichensis Group],Passeriformes,Passerellidae,New World Sparrows,issf,33245,savspa,NA
Savannah Sparrow (Belding's),bldspa,avibase-3C974C47,Passerculus sandwichensis [guttatus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33260,savspa,NA
Song Sparrow,sonspa,avibase-A5F09E05,Melospiza melodia,Passeriformes,Passerellidae,New World Sparrows,species,33277,NA,FALSE
Song Sparrow (heermanni Group),sonspa5,avibase-C45F7C5E,Melospiza melodia [heermanni Group],Passeriformes,Passerellidae,New World Sparrows,issf,33293,sonspa,NA
Lincoln's Sparrow,linspa,avibase-AF49F890,Melospiza lincolnii,Passeriformes,Passerellidae,New World Sparrows,species,33310,NA,FALSE
Swamp Sparrow,swaspa,avibase-4E192262,Melospiza georgiana,Passeriformes,Passerellidae,New World Sparrows,species,33315,NA,FALSE
California Towhee,caltow,avibase-B745D852,Melozone crissalis,Passeriformes,Passerellidae,New World Sparrows,species,33350,NA,FALSE
Rufous-crowned Sparrow,rucspa,avibase-7784B060,Aimophila ruficeps,Passeriformes,Passerellidae,New World Sparrows,species,33371,NA,FALSE
Spotted Towhee,spotow,avibase-58E25701,Pipilo maculatus,Passeriformes,Passerellidae,New World Sparrows,species,33386,NA,FALSE
Spotted Towhee (oregonus Group),spotow1,avibase-D98CADDC,Pipilo maculatus [oregonus Group],Passeriformes,Passerellidae,New World Sparrows,issf,33387,spotow,NA
new world sparrow sp.,sparro1,avibase-081D9B25,Passerellidae sp.,Passeriformes,Passerellidae,New World Sparrows,spuh,33520,NA,NA
Yellow-breasted Chat,yebcha,avibase-734C73A9,Icteria virens,Passeriformes,Icteriidae,Yellow-breasted Chat,species,33559,NA,FALSE
Yellow-headed Blackbird,yehbla,avibase-3E2D0C9B,Xanthocephalus xanthocephalus,Passeriformes,Icteridae,Troupials and Allies,species,33563,NA,FALSE
Bobolink,boboli,avibase-F845062F,Dolichonyx oryzivorus,Passeriformes,Icteridae,Troupials and Allies,species,33564,NA,FALSE
Western Meadowlark,wesmea,avibase-4A5B4883,Sturnella neglecta,Passeriformes,Icteridae,Troupials and Allies,species,33565,NA,FALSE
Orchard Oriole,orcori,avibase-000482C9,Icterus spurius,Passeriformes,Icteridae,Troupials and Allies,species,33679,NA,FALSE
Hooded Oriole,hooori,avibase-526A3692,Icterus cucullatus,Passeriformes,Icteridae,Troupials and Allies,species,33682,NA,FALSE
Bullock's Oriole,bulori,avibase-7E65A952,Icterus bullockii,Passeriformes,Icteridae,Troupials and Allies,species,33736,NA,FALSE
Baltimore Oriole,balori,avibase-5110842F,Icterus galbula,Passeriformes,Icteridae,Troupials and Allies,species,33770,NA,FALSE
Bullock's/Baltimore Oriole,y00022,avibase-669BEE87,Icterus bullockii/galbula,Passeriformes,Icteridae,Troupials and Allies,slash,33772,NA,NA
new world oriole sp.,oriole,avibase-DA4F8035,Icterus sp.,Passeriformes,Icteridae,Troupials and Allies,spuh,33777,NA,NA
Red-winged Blackbird,rewbla,avibase-C86D078E,Agelaius phoeniceus,Passeriformes,Icteridae,Troupials and Allies,species,33779,NA,FALSE
Red-winged/Tricolored Blackbird,y00651,avibase-CC7CAC82,Agelaius phoeniceus/tricolor,Passeriformes,Icteridae,Troupials and Allies,slash,33808,NA,NA
Brown-headed Cowbird,bnhcow,avibase-1E1AB415,Molothrus ater,Passeriformes,Icteridae,Troupials and Allies,species,33833,NA,FALSE
Brewer's Blackbird,brebla,avibase-EA5E858A,Euphagus cyanocephalus,Passeriformes,Icteridae,Troupials and Allies,species,33851,NA,FALSE
Great-tailed Grackle,grtgra,avibase-5CBA3391,Quiscalus mexicanus,Passeriformes,Icteridae,Troupials and Allies,species,33864,NA,FALSE
blackbird sp.,blackb,avibase-D572AE1C,Icteridae sp.,Passeriformes,Icteridae,Troupials and Allies,spuh,33944,NA,NA
Black-and-white Warbler,bawwar,avibase-4D207AF6,Mniotilta varia,Passeriformes,Parulidae,New World Warblers,species,33962,NA,FALSE
Tennessee Warbler,tenwar,avibase-D204A930,Leiothlypis peregrina,Passeriformes,Parulidae,New World Warblers,species,33972,NA,FALSE
Orange-crowned Warbler,orcwar,avibase-FFF61080,Leiothlypis celata,Passeriformes,Parulidae,New World Warblers,species,33973,NA,FALSE
Orange-crowned Warbler (Gray-headed),orcwar5,avibase-6EC108A8,Leiothlypis celata celata/orestera,Passeriformes,Parulidae,New World Warblers,form,33974,orcwar,NA
Orange-crowned Warbler (lutescens),orcwar3,avibase-F66823A4,Leiothlypis celata lutescens,Passeriformes,Parulidae,New World Warblers,issf,33977,orcwar,NA
Orange-crowned Warbler (sordida),orcwar4,avibase-E1EE2C92,Leiothlypis celata sordida,Passeriformes,Parulidae,New World Warblers,issf,33978,orcwar,NA
Lucy's Warbler,lucwar,avibase-E8EB3C96,Leiothlypis luciae,Passeriformes,Parulidae,New World Warblers,species,33980,NA,FALSE
Nashville Warbler,naswar,avibase-183E5F90,Leiothlypis ruficapilla,Passeriformes,Parulidae,New World Warblers,species,33981,NA,FALSE
Nashville Warbler (ridgwayi),naswar2,avibase-A468E19C,Leiothlypis ruficapilla ridgwayi,Passeriformes,Parulidae,New World Warblers,issf,33983,naswar,NA
MacGillivray's Warbler,macwar,avibase-85106518,Geothlypis tolmiei,Passeriformes,Parulidae,New World Warblers,species,34005,NA,FALSE
Common Yellowthroat,comyel,avibase-BA4C8A02,Geothlypis trichas,Passeriformes,Parulidae,New World Warblers,species,34028,NA,FALSE
American Redstart,amered,avibase-BED38F50,Setophaga ruticilla,Passeriformes,Parulidae,New World Warblers,species,34058,NA,FALSE
Northern Yellow Warbler,yelwar1,avibase-B64C749B,Setophaga aestiva,Passeriformes,Parulidae,New World Warblers,species,34087,NA,FALSE
Palm Warbler,palwar,avibase-4AAEF549,Setophaga palmarum,Passeriformes,Parulidae,New World Warblers,species,34148,NA,FALSE
Palm Warbler (Western),palwar3,avibase-BFE4314B,Setophaga palmarum palmarum,Passeriformes,Parulidae,New World Warblers,issf,34149,palwar,NA
Yellow-rumped Warbler,yerwar,avibase-BC5A9498,Setophaga coronata,Passeriformes,Parulidae,New World Warblers,species,34159,NA,FALSE
Yellow-rumped Warbler (Myrtle),myrwar,avibase-524C7116,Setophaga coronata coronata,Passeriformes,Parulidae,New World Warblers,issf,34160,yerwar,NA
Yellow-rumped Warbler (Audubon's),audwar,avibase-631CB970,Setophaga coronata auduboni,Passeriformes,Parulidae,New World Warblers,issf,34161,yerwar,NA
Yellow-rumped Warbler (Myrtle x Audubon's),yerwar3,avibase-98953427,Setophaga coronata coronata x auduboni,Passeriformes,Parulidae,New World Warblers,intergrade,34162,yerwar,NA
Yellow-throated Warbler,yetwar,avibase-136451CF,Setophaga dominica,Passeriformes,Parulidae,New World Warblers,species,34171,NA,FALSE
Grace's Warbler,grawar,avibase-946DCF53,Setophaga graciae,Passeriformes,Parulidae,New World Warblers,species,34194,NA,FALSE
Black-throated Gray Warbler,btywar,avibase-6B7A93C5,Setophaga nigrescens,Passeriformes,Parulidae,New World Warblers,species,34200,NA,FALSE
Townsend's Warbler,towwar,avibase-F6C6C3F7,Setophaga townsendi,Passeriformes,Parulidae,New World Warblers,species,34206,NA,FALSE
Hermit Warbler,herwar,avibase-0EB07C12,Setophaga occidentalis,Passeriformes,Parulidae,New World Warblers,species,34210,NA,FALSE
Wilson's Warbler,wlswar,avibase-1F09CCCC,Cardellina pusilla,Passeriformes,Parulidae,New World Warblers,species,34346,NA,FALSE
Wilson's Warbler (chryseola),wilwar3,avibase-64FDA02D,Cardellina pusilla chryseola,Passeriformes,Parulidae,New World Warblers,issf,34349,wlswar,NA
new world warbler sp.,warble,avibase-62BC6EC7,Parulidae sp.,Passeriformes,Parulidae,New World Warblers,spuh,34397,NA,NA
Western Tanager,westan,avibase-0ADA5F17,Piranga ludoviciana,Passeriformes,Cardinalidae,Cardinals and Allies,species,34439,NA,FALSE
Black-headed Grosbeak,bkhgro,avibase-824361E5,Pheucticus melanocephalus,Passeriformes,Cardinalidae,Cardinals and Allies,species,34559,NA,FALSE
Blue Grosbeak,blugrb1,avibase-A7A75EA1,Passerina caerulea,Passeriformes,Cardinalidae,Cardinals and Allies,species,34598,NA,FALSE
Lazuli Bunting,lazbun,avibase-9F67F3AF,Passerina amoena,Passeriformes,Cardinalidae,Cardinals and Allies,species,34606,NA,FALSE
passerine sp.,passer1,avibase-CFD25837,Passeriformes sp.,Passeriformes,NA,NA,spuh,35852,NA,NA
bird sp.,bird1,avibase-AF0D818A,Aves sp.,NA,NA,NA,spuh,35853,NA,NA
